codigo_ibge;sigla;ano;variavel_valor
1100015;Acesso_SCM>=12Mbps;2025;3873.0
1100023;Acesso_SCM>=12Mbps;2025;31191.0
1100031;Acesso_SCM>=12Mbps;2025;2215.0
1100049;Acesso_SCM>=12Mbps;2025;30702.0
1100056;Acesso_SCM>=12Mbps;2025;2295.0
1100064;Acesso_SCM>=12Mbps;2025;3550.0
1100072;Acesso_SCM>=12Mbps;2025;1151.0
1100080;Acesso_SCM>=12Mbps;2025;2016.0
1100098;Acesso_SCM>=12Mbps;2025;3000.0
1100106;Acesso_SCM>=12Mbps;2025;7288.0
1100114;Acesso_SCM>=12Mbps;2025;9884.0
1100122;Acesso_SCM>=12Mbps;2025;33570.0
1100130;Acesso_SCM>=12Mbps;2025;5374.0
1100148;Acesso_SCM>=12Mbps;2025;5056.0
1100155;Acesso_SCM>=12Mbps;2025;3976.0
1100189;Acesso_SCM>=12Mbps;2025;8623.0
1100205;Acesso_SCM>=12Mbps;2025;153317.0
1100254;Acesso_SCM>=12Mbps;2025;5142.0
1100262;Acesso_SCM>=12Mbps;2025;269.0
1100288;Acesso_SCM>=12Mbps;2025;13845.0
1100296;Acesso_SCM>=12Mbps;2025;836.0
1100304;Acesso_SCM>=12Mbps;2025;23545.0
1100320;Acesso_SCM>=12Mbps;2025;3953.0
1100338;Acesso_SCM>=12Mbps;2025;3939.0
1100346;Acesso_SCM>=12Mbps;2025;4268.0
1100379;Acesso_SCM>=12Mbps;2025;1367.0
1100403;Acesso_SCM>=12Mbps;2025;2905.0
1100452;Acesso_SCM>=12Mbps;2025;10097.0
1100502;Acesso_SCM>=12Mbps;2025;2468.0
1100601;Acesso_SCM>=12Mbps;2025;1394.0
1100700;Acesso_SCM>=12Mbps;2025;3224.0
1100809;Acesso_SCM>=12Mbps;2025;2765.0
1100908;Acesso_SCM>=12Mbps;2025;968.0
1100924;Acesso_SCM>=12Mbps;2025;962.0
1100940;Acesso_SCM>=12Mbps;2025;1657.0
1101005;Acesso_SCM>=12Mbps;2025;176.0
1101104;Acesso_SCM>=12Mbps;2025;1966.0
1101203;Acesso_SCM>=12Mbps;2025;2669.0
1101302;Acesso_SCM>=12Mbps;2025;1590.0
1101401;Acesso_SCM>=12Mbps;2025;2811.0
1101435;Acesso_SCM>=12Mbps;2025;531.0
1101450;Acesso_SCM>=12Mbps;2025;821.0
1101468;Acesso_SCM>=12Mbps;2025;373.0
1101476;Acesso_SCM>=12Mbps;2025;466.0
1101484;Acesso_SCM>=12Mbps;2025;985.0
1101492;Acesso_SCM>=12Mbps;2025;2903.0
1101500;Acesso_SCM>=12Mbps;2025;2851.0
1101559;Acesso_SCM>=12Mbps;2025;2291.0
1101609;Acesso_SCM>=12Mbps;2025;622.0
1101708;Acesso_SCM>=12Mbps;2025;2964.0
1101757;Acesso_SCM>=12Mbps;2025;1212.0
1101807;Acesso_SCM>=12Mbps;2025;557.0
1200013;Acesso_SCM>=12Mbps;2025;481.0
1200054;Acesso_SCM>=12Mbps;2025;1282.0
1200104;Acesso_SCM>=12Mbps;2025;2096.0
1200138;Acesso_SCM>=12Mbps;2025;791.0
1200179;Acesso_SCM>=12Mbps;2025;493.0
1200203;Acesso_SCM>=12Mbps;2025;14266.0
1200252;Acesso_SCM>=12Mbps;2025;1430.0
1200302;Acesso_SCM>=12Mbps;2025;1778.0
1200328;Acesso_SCM>=12Mbps;2025;561.0
1200336;Acesso_SCM>=12Mbps;2025;2097.0
1200344;Acesso_SCM>=12Mbps;2025;1169.0
1200351;Acesso_SCM>=12Mbps;2025;874.0
1200385;Acesso_SCM>=12Mbps;2025;622.0
1200393;Acesso_SCM>=12Mbps;2025;486.0
1200401;Acesso_SCM>=12Mbps;2025;101709.0
1200427;Acesso_SCM>=12Mbps;2025;3047.0
1200435;Acesso_SCM>=12Mbps;2025;376.0
1200450;Acesso_SCM>=12Mbps;2025;3373.0
1200500;Acesso_SCM>=12Mbps;2025;1736.0
1200609;Acesso_SCM>=12Mbps;2025;2698.0
1200708;Acesso_SCM>=12Mbps;2025;849.0
1200807;Acesso_SCM>=12Mbps;2025;859.0
1300029;Acesso_SCM>=12Mbps;2025;560.0
1300060;Acesso_SCM>=12Mbps;2025;390.0
1300086;Acesso_SCM>=12Mbps;2025;275.0
1300102;Acesso_SCM>=12Mbps;2025;402.0
1300144;Acesso_SCM>=12Mbps;2025;2684.0
1300201;Acesso_SCM>=12Mbps;2025;715.0
1300300;Acesso_SCM>=12Mbps;2025;3982.0
1300409;Acesso_SCM>=12Mbps;2025;842.0
1300508;Acesso_SCM>=12Mbps;2025;994.0
1300607;Acesso_SCM>=12Mbps;2025;2116.0
1300631;Acesso_SCM>=12Mbps;2025;699.0
1300680;Acesso_SCM>=12Mbps;2025;433.0
1300706;Acesso_SCM>=12Mbps;2025;3266.0
1300805;Acesso_SCM>=12Mbps;2025;1975.0
1300839;Acesso_SCM>=12Mbps;2025;114.0
1300904;Acesso_SCM>=12Mbps;2025;1166.0
1301001;Acesso_SCM>=12Mbps;2025;876.0
1301100;Acesso_SCM>=12Mbps;2025;1522.0
1301159;Acesso_SCM>=12Mbps;2025;747.0
1301209;Acesso_SCM>=12Mbps;2025;3698.0
1301308;Acesso_SCM>=12Mbps;2025;1363.0
1301407;Acesso_SCM>=12Mbps;2025;952.0
1301506;Acesso_SCM>=12Mbps;2025;357.0
1301605;Acesso_SCM>=12Mbps;2025;940.0
1301654;Acesso_SCM>=12Mbps;2025;1014.0
1301704;Acesso_SCM>=12Mbps;2025;5457.0
1301803;Acesso_SCM>=12Mbps;2025;1057.0
1301852;Acesso_SCM>=12Mbps;2025;3870.0
1301902;Acesso_SCM>=12Mbps;2025;10591.0
1301951;Acesso_SCM>=12Mbps;2025;362.0
1302009;Acesso_SCM>=12Mbps;2025;1236.0
1302108;Acesso_SCM>=12Mbps;2025;559.0
1302207;Acesso_SCM>=12Mbps;2025;522.0
1302306;Acesso_SCM>=12Mbps;2025;1257.0
1302405;Acesso_SCM>=12Mbps;2025;1789.0
